,Label,Question,Answer
,ethics and regulation,What does the IPCC predict will happen as a result of extreme events,"Answer The IPCC predicts an increase in their impacts, leading to increased needs for social protection due to losses of income, health, employment, livelihoods, and lives"
,ethics and regulation,How could slow onset events potentially deepen vulnerability,"Answer Slow onset events could translate into gradual losses of livelihoods, employment, or health, leading to increased chronic poverty and decreased living standards, which would necessitate constant provision of social protection"
,analysis,What changes in the climate system are likely to increase the need for social protection,"Changes in the climate system are highly likely to increase the need for social protection both to address transitory needs at a covariate level, as well as to address chronic, long term needs for individuals, households, and societies"
,analysis,What are the positive and adverse implications of responses to climate change,"Responses to climate change risk driver 2 primarily climate change adaptation and mitigation measures, can have both positive and adverse implications for the risks that social protection is concerned with For instance, the closure of high-emitting industries, fiscal reforms to influence energy production and consumption, and physical adaptation infrastructure, can reduce emissions ultimately reducing hazards as well as reduce exposure, all of which result in lower risk At the same time, their externalities can negatively impact individuals and households, through changes in labour markets that"
,ethics and regulation,What risks does social policy currently deal with,Social policy currently deals with mainly idiosyncratic risks
,analysis,What are the potential effects of changes to economic structures aimed at managing climate change,The effects of changes to economic structures aimed at managing climate change could be large and it is difficult to predict whether it would increase or decrease vulnerability
,strategy,How can social protection schemes reduce vulnerability resulting from climate change,Social protection schemes can reduce the vulnerability associated with climate change by providing support in the event of agricultural systems leading to increased poverty or gender norms increasing inequality
,ethics and regulation,What has the literature review revealed regarding the role of social protection in managing climate change risks,The literature review revealed that social protection can be used to manage climate change risks by providing support to vulnerable populations and reducing the need for larger social protection measures
,factual,What do the most of the literature on social protection’s role for climate change discuss,"The most of the literature on social protection’s role for climate change discuss hazards arising from changes in the climate system, such as extreme and slow onset events"
,strategy,What are two functions of social protection that can address the impacts of extreme events,"The two functions of social protection that can address the impacts of extreme events are reducing income poverty, thus decreasing overall vulnerability, and maintaining households’ incomes in response to specific climate-related shocks"
,ethics and regulation,What is the difference between ex-ante vulnerability reduction and specific climate-related shocks,"Ex-ante vulnerability reduction refers to the ability of social protection schemes to reduce vulnerability against poverty risks in general, irrespective of an extreme event occurring and of the scheme having the specific objective to manage it Specific climate-related shocks refer to maintaining households’ incomes in response to specific climate-related shocks"
,factual,What evidencesupports the argument that social protection transfers reduce poverty in general,"There is significant evidencethat social protection transfers increase incomes and have positive impact on food consumption, food security, savings, and other welfare indicators, which can help reduce poverty in general Bastagli et al, 2019"
,strategy,How do cash transfers help households cope with the negative impacts of climate-related shocks,"In Kenya, Ethiopia, and Uganda, cash transfers provided regularly to the chronic poor over a significant period of time years help them cope with the negative impacts of climate-related shocks when these happen, irrespective of the programmes’ explicit intention to do so Ulrichs et al, 2019"
,ethics and regulation,What does the Child Grant Program in Zambia do to help poor households,The Child Grant Program in Zambia moderates the negative effect of weather shocks on poor households by providing them with regular transfers over the long term which increase their food security and savings
,factual,What have cash transfers in Mexico been linked to,Cash transfers in Mexico have been linked to better coping capacity against hurricanes and to a possible reduction in violence influenced by extreme-heat
,ethics and regulation,What is the purpose of social protection programmes,Social protection programmes can help households cope with the immediate impacts of specific extreme events by providing direct income support when shocks occur
,ethics and regulation,How are social protection programmes connected to disaster management and humanitarian operations,"Many social protection schemes have responded to climate extremes such as floods, storms, and droughts from around the world, sometimes in connection with disaster management and humanitarian operations"
,strategy,What are the main instruments used to respond to climate shocks,"The main instruments used to respond to climate shocks are direct income transfers, social assistance schemes, social insurance and labour schemes, and commercial disaster insurance schemes such as micro-insurance"
,analysis,What concerns have been raised against considering commercial disaster insurance schemes such as micro-insurance a form of redistributive social protection,Concerns have been raised against considering commercial disaster insurance schemes such as micro-insurance a form of redistributive social protection due to increasing hazards and high vulnerability in certain contexts
,ethics and regulation,What types of social protection methods are available for anticipatory action,Social protection methods that are used for anticipatory action include transfer of income in advance of a shock based on forecast-based mechanisms
,factual,What is the focus of much of the literature on the shock response function of social protection,"The literature on the shock response function of social protection focuses on scheme design and implementation, strengthening social protection systems, and institutional linkages with disaster risk management"
,"analysis, strategy",How can targeting effectiveness be improved,Targeting effectiveness can be improved by including climate risk vulnerability and targeting people who are at-risk of poverty
,strategy,What are the benefits of social protection transfers and employment programs after a cyclone,Benefits of social protection transfers and employment programs after a cyclone include restoring consumption and improving long-term income opportunities
,factual,What kind of evidencehas been presented from Kenya and Brazil to show the effectiveness of social protection measures,"Evidence from Kenya and Brazil has shown that social protection measures can reduce hunger, increase food consumption, and be used for medical expenses, thus increasing resilience to drought"
,factual,What gaps have been found in the literature on social protection and climate change,"The literature on social protection and climate change has been found to be mostly centred on managing the impacts of climate-related extremes, leaving slow-onset events SOEs as a gap Social protection literature should pay more attention to SOEs, since they can have severe implications"
,ethics and regulation,How can social protection schemes reduce vulnerability to slow-onset events,"Social protection schemes can reduce vulnerability to slow-onset events by decreasing income poverty, leading to positive health outcomes, higher education levels, income diversification and social inclusion"
,factual,What evidenceexists to suggest that social assistance interventions can reduce vulnerability to environmental changes,A study investigating livelihood and landscape change over a 30-year period in two communities in Southern Africa found that social assistance interventions decreased vulnerability to long term changes in average rainfall and other environmental variables
,strategy,What approaches can be used to build SOE-resilient livelihoods,"Approaches to build SOE-resilient livelihoods can include building basic social assistance benefits such as public employment schemes, cash transfers, and climate risk management measures such as index-based agricultural insurance, and pro-poor livelihood development programmes"
,"strategy, ethics and regulation",How can social protection facilitate measures to build ecological resilience to SOEs,"Social protection can facilitate measures to build ecological resilience to SOEs, for instance through public works approaches that combine cash transfers with measures that help reduce environmental degradation"
,ethics and regulation,Does social protection programs incorporate long-term climate risk considerations,"No, social protection programs do not incorporate long-term climate risk considerations"
,strategy,Does cash transfers offset short-distance migration for short-term shocks,"Yes, cash transfers offset short-distance migration for short-term shocks such as extreme heat"
,ethics and regulation,How does social protection help offset the negative impacts of reducing emissions,"Social protection can help to offset the negative impacts of reducing emissions by providing an income to poorer groups, making the reforms more socially acceptable"
,ethics and regulation,What are the two key functions of social protection in supporting the transition to net-zero carbon economies,The two key functions of social protection in supporting the transition to net-zero carbon economies are compensating for the negative impacts of climate change responses and actively facilitating climate change adaptation and mitigation measures
,ethics and regulation,How can government s reducing poverty through replacing direct fossil fuel subsidies,"governments can reduce poverty by replacing direct fossil fuel subsidies with poverty-targeted social transfers, which provides cost savings for government s"
,"strategy, ethics and regulation",How can revenues from carbon taxes and pricing be used to alleviate poverty,Revenues from carbon taxes and pricing can be used to offset their negative effects and reduce poverty by providing poverty-targeted social protection provision
,ethics and regulation,What social assistance measures can help maintain income and promote economic opportunities,"Social assistance measures such as cash transfers can help maintain income, especially for workers without formal employment benefits Social insurance unemployment insurance, early retirement, etc can guarantee basic income security for formally employed workers"
,ethics and regulation,What active labor market policies can help transition workers from high emission to low-carbon jobs,"Active labor market policies, including re-skilling, re-training, and job placements, can facilitate the transition of workers from high-emission industries to low-carbon jobs"
,ethics and regulation,How can social protection facilitate climate change adaptation and mitigation measures,"Social protection can facilitate behavioural, nature-based, and infrastructural adaptation and mitigation responses This can include measures such as protecting homes and crops, relocating, and shifting livelihood strategies Social protection can provide an income basis to support these measures, while also discussing the need to combine these schemes with complementary interventions"
,ethics and regulation,What is the role of social protection in cushioning the impacts of technological transitions,"In HICs, social protection has played a similar role in the past century, cushioning the impacts of various industrial and technological transitions affecting labour markets Examples of countries now considering the role of welfare policies in climate change mitigation are increasing"
,ethics and regulation,How does combining social assistance with other interventions contribute to adaptive behaviours,"A Combining social assistance with other interventions such as livelihoods diversification, financial services, training, and skills development can contribute to adaptive behaviours such as climate-smart agriculture and planned relocation and migration"
,"ethics and regulation, strategy","How does providing regular, predictable transfers address key liquidity constraints in extremely poor households","Providing regular, predictable transfers to extremely poor households can address key liquidity constraints, allowing them to benefit from adaptation programmes and make the necessary investments in adaptive behaviours"
,ethics and regulation,How can cash transfer programmes support nature-based adaptation and physical risk reduction,"Cash transfer programmes may have a direct effect on the beneficiaries’ land use and conservation behaviours, which could help support nature-based adaptation and physical risk reduction Evidence from Colombia and Indonesia for example, has shown that deforestation was reduced by increasing incomes"
,ethics and regulation,"What kind of schemes can increase incomes while simultaneously contributing towards nature-based adaptation, disaster risk reduction, or climate change mitigation","Public works approaches that specifically integrate environmental or climate objectives can increase incomes while simultaneously contributing towards nature-based adaptation, disaster risk reduction, or climate change mitigation Evidence from a number of flagship public works programs in India, Ethiopia, Mexico, and South Africa has shown improved outcomes such as land and water availability, afforestation and drought proofing, and even carbon sequestration objectives"
,ethics and regulation,How can PES combine incentives to achieve environmental and social objectives,"PES can combine incentives such as Brazil's Bolsa Floresta programme, which offers a monthly payment to low-income households if they commit to zero deforestation and enrol their children in school This can have positive environmental impacts while increasing incomes and food security, and improving livelihoods and social capital"
,ethics and regulation,What are the challenges of balancing environmental and social objectives when using PES as part of the social protection toolbox for climate change,"The main challenge is balancing the environmental and social objectives when using PES as part of the social protection toolbox for climate change This requires careful consideration to ensure that both objectives are met Additionally, social protection may need to support technological and infrastructural adaptation, such as incentivising housing, transportation, and infrastructure measures that contribute to adaptation or to emissions reductions"
,ethics and regulation,What measures can be implemented to reduce income poverty and decrease vulnerability to climate change,"Measures such as providing social protection, investing in energy-efficient housing and transportation, and other climate-related policy processes, practices and norms can be implemented to reduce income poverty and decrease vulnerability to climate change"
,strategy,How can energy-efficient housing and transportation incentivize investments in energy-efficient housing and transportation,"By providing social protection in high-income countries, incentives can be provided to invest in energy-efficient housing and transportation in order to reduce emissions and increase energy efficiency"
,ethics and regulation,What can social protection do to increase resilience to climate change,"Social protection can address a range of factors that increase vulnerability, including policies, processes and practices in other sectors such as agriculture, urban planning and others It can also increase access to health and education services and improved agricultural productivity, enhancing the outcomes of policies in those sectors and possibly increasing overall climate resilience"
,ethics and regulation,"What evidenceis there that social protection can positively impact agricultural assets, labour patterns, trade, prices and wages","There is evidencethat cash transfers conditioned on health and education activities increase schooling and health outcomes Additionally, there is evidencethat social assistance programmes can positively impact agricultural assets, labour patterns, trade, prices, and wages which could lead to reduced vulnerability and increased climate resilience"
,"ethics and regulation, strategy",What positive outcomes do social assistance interventions have for women,"Positive outcomes of social assistance interventions for women include increased schooling, participation, and empowerment, which could contribute to climate-related gender outcomes"
,"ethics and regulation, factual",What evidenceis there to suggest that climate-oriented social protection programmes take into account gender dimensions adequately,"Empirical evidencelinked to climate change is scant, and a small number of studies show that climate-oriented social protection programmes do not yet take into account gender dimensions adequately"
,ethics and regulation,How can social protection contribute to a more equitable transition,"Social protection could help promote more equal and inclusive societies, foster citizen engagement, and improve governance This would create a more equitable transition by improving the lives of those affected by climate change"
,"ethics and regulation, analysis",What insights does the analysis of climate change risks offer about social protection,The analysis of climate change risks reveals that climate change presents a novel source of increasing risks that is relevant to social protection It also indicates that these risks stem from a range of complex interactions between climate and human systems The analysis further points to an increased demand for social protection as a result of these risks
,"ethics and regulation, analysis",What could be the implication of a partial understanding of the drivers of risk associated with climate change,A partial understanding of the drivers of risks associated with climate change can lead to social protection inadvertently creating new sources of risk and vulnerability
,ethics and regulation,What is the Productive Safety Nets Program in Ethiopia,"The Productive Safety Nets Program in Ethiopia is an income diversification program which helps some households, but can lead to longer-term environmental damage, such as charcoal production"
,ethics and regulation,What are the core roles of social protection in reducing overall climate vulnerability,"The core roles of social protection in reducing overall climate vulnerability include directly reducing income poverty, contributing to human development, productive outcomes such as education and health and productive livelihoods, and supporting increased equity, inclusion, and social justice Q What are the functions of social protection in dealing with the new challenges from climate change"
,"ethics and regulation, factual",What is the evidenceof social protection’s ability to improve incomes and support human development in LMICs,Studies have found evidenceof social protection's ability to improve incomes and support human development in low and middle-income countries LMICs
,"ethics and regulation, strategy",Does social protection integrate climate change risks concerns strategically,"No, social protection interventions do not appear to integrate climate change risks concerns strategically or at scale"
,"ethics and regulation, factual",How is social protection being used to respond to covariate shocks,"Social protection is already being used as a core function to respond to covariate shocks, although intensifying climate change will bring out new challenges that require attention"
,ethics and regulation,What areas require attention to prepare social protection to meet the scope of the new challenges,"To prepare social protection, there are significant operational and policy issues that require attention such as incorporating climate disaster preparedness and risk mitigation elements, and developing a more nuanced understanding of the contexts and ways for social protection to be cost-effective and adequate as a disaster response instrument"
,strategy,What are the instruments that are used to facilitate responses to climate change,"The instruments used to facilitate responses to climate change include cash transfers, social insurance, and labour benefits"
,"ethics and regulation, strategy",How can social protection facilitate climate change adaptation and mitigation,"Social protection can support climate change adaptation and mitigation strategically by facilitating specific behaviours and practices and by supporting livelihoods transformations It can also incentivise behaviours that reduce risk and support adaptation, including in some cases, enabling migration"
,"ethics and regulation, strategy",What role is social protection uniquely playing in the fight against climate change,"Social protection is combining social protection approaches with natural resources management or infrastructure measures to support ecosystems, in order to reduce vulnerability from the worst impacts of climate change and the transition towards a climate resilient future"
,"ethics and regulation, strategy",What are the difficulties faced when combining social protection with other sectoral approaches,"Experiences with approaches that combine social protection with other sectoral approaches eg, productive inclusion programs, public works programmes have been difficult to operationalise at scale, and in general have not been systematically or strategically informed by climate change considerations"
,"ethics and regulation, strategy",How can social protection be used as a response to climate change,"Social protection can reduce vulnerability, respond to climate shocks and disasters, limit the negative impacts of climate change responses and facilitate positive adaptation and mitigation measures"
,ethics and regulation,What are the key areas of research related to climate-resilient social protection schemes,"Key areas for research include in-depth learning from existing social protection schemes that incorporate climate change concerns, assessing the effectiveness and readiness of social protection as a response to climate change, and developing an understanding on the ways that social protection can accelerate climate change mitigation and adaptation measures"
,factual,How have rural workers and residents in China fared with conservation efforts,"According to a study by AFD and ILO in 2019a, social protection and climate change can work together to benefit rural workers and residents in China with conservation efforts"
,factual,What is the focus of the World Risk Report 2021,The focus of the World Risk Report 2021 is social protection
,ethics and regulation,What are social protection policies,Social protection policies are transfer of resources to individuals and families implemented or mandated by government s with the goal to help them maintain income in times of adversity or to raise their living standards
,ethics and regulation,What components does social protection include,"Social protection includes social assistance, social insurance, employer mandates, universal allowances, active and passive labour market policies, and some tax benefits"
,ethics and regulation,What are the contributory schemes of social insurance,"The contributory schemes of social insurance include unemployment, disability, maternity benefits, and pensions"
,ethics and regulation,What goal is proposed by scholars and practitioners in the climate and social protection fields,"The goal is to bridge the cognitive gap between the climate community and the social protection sector by developing a comprehensive, risk-based conceptual understanding of the implications of climate change for social protection"
,taxonomy,What is the key concept of risk in the climate and social protection fields,"The key concept of risk provides a framework for understanding the increasingly severe, interconnected, and often irreversible impacts of climate change on ecosystems, biodiversity, and human systems; and how to best reduce their adverse consequences IPCC, 2022"
,taxonomy,What is the primary goal of social protection,The primary goal of social protection is to reduce individual and households’ vulnerability to poverty and deprivation as a way to reduce risk
,taxonomy,What is the concept of adaptive social protection,"Adaptive social protection is an approach introduced by Davies et al 2008 which argues for the integration of social protection, climate change adaptation, and disaster risk reduction, with social protection having a primary role in addressing the structural causes of poverty as part of these joint efforts"
,"ethics and regulation, analysis",What roles has social protection played regarding various climate-related concerns,"Scholars and practitioners have explored social protection as a policy response for responding to covariate shocks, facilitating climate change adaptation, mitigation, and climate resilience"
,"ethics and regulation, analysis",What are the analytical and evidencegaps regarding social protection and climate change,"Despite conceptual advances, analytical and evidencegaps remain such as the relatively narrow understanding of the implications of climate change for social protection"
,factual,What does the literature on social protection and climate change explore,"The literature on social protection and climate change explores how different social protection mechanisms can address new and evolving climate risks, and to what extent they are currently doing so"
,analysis,What are some considerations related to climate change risks that are often overlooked,Some considerations related to climate change risks that are often overlooked include slow onset events and risks arising from climate change responses such as transition risks
,analysis,What are the risks of climate change,The risks of climate change are quantitatively and qualitatively different from the traditional risks which in the past have fostered the emergence of social policy responses
,"ethics and regulation, strategy",How can social policies be used to manage risks arising from climate change,Social policies need to be reconceptualised in order to better manage risks arising from climate change
,taxonomy,What does the concept of climate risk consider as a key factor,The concept of climate risk recognizes vulnerability as a key factor
,taxonomy,What is the primary understanding of climate change initially,"Initially, climate change was understood primarily as a one-directional increase in climate hazards IPCC, 2001"
,"ethics and regulation, taxonomy",What does the concept of vulnerability highlight,"The concept of vulnerability highlights the role of factors outside the climate system – eg factors arising from human systems such as socioeconomic settings – in determining the circumstances where hazards eg extreme or slow onset events do or do not result in negative impacts Oppenheimer et al, 2014"
,"ethics and regulation, taxonomy",What is vulnerability,"Vulnerability is the propensity or predisposition to be adversely affected, including sensitivity or susceptibility to harm and lack of capacity to cope and adapt"
,ethics and regulation,What are climate-specific policies or measures that can increase or decrease individual and household vulnerability,"These include climate change mitigation and adaptation policies and measures, as well as any other policies or measures that can increase or decrease individual and household vulnerability"
,ethics and regulation,What meaning is given to vulnerability and vulnerable groups in the social protection literature,"Vulnerability and vulnerable groups primarily refer to categorical factors that produce vulnerability, such as gender, disability, age, etc"
,taxonomy,What are slow-onset events in the climate change literature,"In the climate change literature, slow-onset events refer to risks and impacts associated with increasing temperature means"
,taxonomy,What are the key risks in the social protection literature,"The key risks in the social protection literature are social and life-cycle risks, and income and livelihoods risks"
,ethics and regulation,What is the goal of social protection,The goal of social protection is to reduce individuals and households' vulnerability to poverty and deprivation
,"ethics and regulation, analysis",What risks do social & life-cycle risks refer to,"Social risks and life-cycle risks refer to traditional risks arising from employment in modern societies such as ill health, disability, maternity, unemployment, old age, etc, as well as more recent risks to employment and income arising from globalization and technological change, such as obsolete skills and risks unique to single-headed households"
,factual,What are the main focuses of social protection in low- and middle-income countries,"The main focus of social protection in low- and middle-income countries is to reduce the impacts of income-related risks such as poverty and deprivation, food insecurity, erosion of living standards,"
,strategy,What are two ways in which social protection achieves its income function,The two ways in which social protection achieves its income function are income maintenance and income subsidisation
,strategy,What is the goal of income subsidization,"The goal of income subsidization is to structurally decrease vulnerability, by providing income that facilitates investments in human and productive assets and strengthens people's agency"
,analysis,What kind of risks are prioritized by social protection schemes,"Social protection schemes prioritize idiosyncratic risks, ie those that affect individuals or households one at a time, such as illness, as well as covariate risks, ie those affecting many people at the same time"
,ethics and regulation,What kinds of social protection schemes are available,"Social assistance schemes such as cash transfers, public works programmes, and conditional cash transfers are available, as well as social insurance like unemployment and disability benefits and labour markets such as wage subsidies and training"
,ethics and regulation,What is an example of a social protection scheme in South Africa,"South Africa’s Unemployment Insurance Fund is a mandatory and contributory scheme for formal and informal workers, which provides benefits in case of job loss, maternity, or illness, among others"
,ethics and regulation,What is the purpose of Argentina's Continuing Education Program,The purpose of Argentina's Continuing Education Program is to promote training of workers as a tool to gain access to decent and quality jobs and improving competitiveness
,analysis,What are the implications of climate change for social protection risks,"The implications of climate change for social protection risks include an increased need and demand for social protection due to increased people's vulnerability, along with risks associated with extreme and slow-onset events"
,strategy,What kind of impacts will extreme events lead to,"Extreme events will lead to increased losses in terms of income, health, employment, livelihoods, and lives"
,analysis,What kind of losses can gradual processes arising from slow onset events cause,"Gradual processes arising from slow onset events can cause gradual losses of livelihoods, employment, and health which can deepen vulnerability by increasing chronic poverty or decreasing living standards"
,strategy,What are the positive and adverse implications of responses to climate change,"Positive implications include reducing hazards, reducing exposure, and creating new jobs that require different skills Adverse implications include changes in labour markets, affecting employment at a global, national or local scale, as well as increased income poverty"
,ethics and regulation,How can climate change adaptation and mitigation measures reduce risk,"Climate change adaptation and mitigation measures can reduce risk by closing high-emitting industries, reforming fiscal policies to influence energy production and consumption, and by implementing physical adaptation infrastructure"
,analysis,What type of risk does social protection deals with,Social protection mainly deals with idiosyncratic risk
,ethics and regulation,What is the overall effect of changes to economic structures on vulnerability,The overall effect on vulnerability is difficult to predict given their potential for both positive and negative outcomes
,analysis,What are the implications of climate risk for social protection,"Climate risk can increase the vulnerability of individuals and communities, leading to a greater need for social protection"
,management,What is the purpose of conducting a literature review on social protection and climate change,The purpose of conducting a literature review is to assess how and to what extent social protection can manage risks arising from climate change
,factual,What are the most commonly discussed drivers of risk in the climate change literature,"The most commonly discussed drivers of risk in the literature are hazards arising from changes in the climate system, such as extreme and slow onset events"
,analysis,Are risks arising from changes in the climate system and from responses to climate change considered at the same time,Only a handful of documents consider at the same time the risks arising from changes in the climate system and from responses to climate change
,ethics and regulation,What are two functions of social protection schemes in addressing the impacts of extreme events,"Social protection schemes reduce vulnerability against poverty risks in general, and they can maintain households' incomes in response to specific climate-related shocks"
,ethics and regulation,What is the term given to vulnerability reduction when it occurs before the shock happens,This is sometimes called “ex-ante” vulnerability reduction
,factual,What evidenceis there that social protection transfers increase incomes and have positive economic welfare outcomes,"There is significant evidencethat social protection transfers increase incomes and have positive impact on food consumption, food security, savings, and other welfare indicators and can reduce poverty in general Bastagli et al, 2019"
,"strategy, ethics and regulation",What is the purpose of reducing income poverty to decrease overall vulnerability to extreme events,"Reducing income poverty to decrease overall vulnerability to extreme events can help households manage the impacts of climate extremes in general by increasing their capacity to deal with shocks when they occur Agrawal et al, 2019, 2020; Aleksandrova, 2019a; Davies et al"
,"ethics and regulation, factual",What are some examples of social protection programmes,"Some examples are the Child Grant Program in Zambia, poverty-targeted, conditional, cash transfers in Mexico, and social assistance and social insurance schemes in Asia, East Africa, and Latin America"
,strategy,How have social protection transfers helped households manage climate shocks,Social protection transfers have helped households manage climate shocks by increasing income and by reducing climate vulnerability at large
,ethics and regulation,What is the purpose of social protection programmes,The purpose of social protection programmes is to help households cope with the immediate impacts of specific extreme events by providing direct income support when shocks occur
,ethics and regulation,How have social protection schemes responded to climate extremes,"Social protection schemes have responded to climate extremes such as floods, storms, and droughts from around the world, sometimes in connection with disaster management and humanitarian operations"
,strategy,What is the main instrument for responding to shocks,The main instrument for responding to shocks consists of direct income transfers
,analysis,What are the concerns raised against considering commercial disaster insurance schemes a form of redistributive social protection,The concerns raised against considering commercial disaster insurance schemes a form of redistributive social protection include increasing hazards and high vulnerability
